MT0001,1,1521,1520,,12452
MT0002,2052,3257,1205,,11352
MT0003,3280,4434,1154,,9824
MT0004,4434,4994,560,,9557
MT0005,5207,7264,2057,,9497
MT0006,7302,9815,2513,,9206
MT0007,9914,10825,911,,7559
MT0009,11692,11558,134,,6563
MT0010,12311,11877,434,,6377
MT0011,12468,13013,545,,6377
MT0012,13176,13027,149,,6332
MT0013,13558,13136,422,,6302
MT0014,13995,13717,278,,6298
MT0015,14089,14874,785,,5696
MT0016,14914,15609,695,,5627
MT0017,17470,15593,1877,,5480
MT0018,18762,17470,1292,,5360
MT0019,20234,18762,1472,,5198
MT0020,21640,20234,1406,,5144
MT0021,23172,21640,1532,,4994
MT0022,23737,23273,464,,4874
MT0023,25426,23864,1562,,4871
MT0024,26863,25898,965,,4859
MT0025,26975,27280,305,,4817
MT0026,27577,28344,767,,4805
MT0027,28344,29186,842,,4616
MT0028,29227,29496,269,,4613
MT0029,29703,31046,1343,,4586
MT0030,31170,31484,314,,4538
MT0030.1,31573,31797,224,,4520
MT0031,31948,31808,140,,4472
MT0032,32609,32034,575,,4463
MT0033,32646,33095,449,,4382
MT0034,33168,33494,326,,4241
MT0035,33526,33735,209,,4223
MT0036,34101,33847,254,,4205
MT0037,34239,36551,2312,,4199
MT0038,36551,36811,260,,4193
MT0039,36811,37203,392,,4187
MT0040,37203,38888,1685,,4172
MT0041,39773,39003,770,,4151
MT0042,41122,39824,1298,,3989
MT0043,41248,41853,605,,3980
MT0044,42295,41951,344,,3947
MT0046,43309,42380,929,,3917
MT0047,43506,46412,2906,,3722
MT0048,47151,46528,623,,3701
MT0049,48044,47313,731,,3695
MT0050,48971,48180,791,,3692
MT0051,49883,48990,893,,3650
MT0052,51068,49968,1100,,3625
MT0053,51671,51132,539,,3614
MT0054,52641,51775,866,,3599
MT0055,52775,53185,410,,3584
MT0056,53181,55640,2459,,3554
MT0057,55685,57319,1634,,3551
MT0058,57279,57914,635,,3551
MT0059,58136,58423,287,,3533
MT0060,58530,59021,491,,3503
MT0061,59066,59317,251,,3476
MT0062,59353,59808,455,,3467
MT0063,59840,60358,518,,3440
MT0064,60340,62961,2621,,3437
MT0065,63144,63833,689,,3380
MT0066,63853,64908,1055,,3344
MT0066.1,65336,64959,377,,3338
MT0066.2,65556,65347,209,,3329
MT0067,65496,66635,1139,,3314
MT0068,66867,68303,1436,,3302
MT0069,68362,68520,158,,3293
MT0070,68564,71500,2936,,3293
MT0071,71802,72200,398,,3290
MT0072,74492,72258,2234,,3281
MT0073,75179,74613,566,,3281
MT0074,75282,76190,908,,3281
MT0075,77603,76221,1382,,3275
MT0076,78877,77603,1274,,3266
MT0077,79467,80180,713,,3224
MT0078,80614,81660,1046,,3212
MT0079,81666,82655,989,,3194
MT0080,82738,83970,1232,,3164
MT0081,83986,85155,1169,,3122
MT0082,85562,85176,386,,3068
MT0083,86480,85629,851,,3050
MT0084,86518,87120,602,,3038
MT0085,87791,87201,590,,3032
MT0085.1,88000,87791,209,,3026
MT0086,88194,89012,818,,3005
MT0087,89057,89467,410,,2981
MT0088,89565,89906,341,,2975
MT0089,89914,90390,476,,2975
MT0090,90390,92309,1919,,2939
MT0091,92318,93265,947,,2936
MT0092,93279,93938,659,,2906
MT0093,93941,95404,1463,,2903
MT0095,95590,96879,1289,,2903
MT0096,96917,97588,671,,2900
MT0098,97748,98338,590,,2897
MT0099,98470,99237,767,,2891
MT0099.1,99259,99627,368,,2885
MT0100,99674,100438,764,,2873
MT0101,100573,102855,2282,,2861
MT0102,103653,102808,845,,2846
MT0103,104563,103703,860,,2840
MT0104,105091,104427,664,,2834
MT0105,105314,106702,1388,,2831
MT0106,106724,107590,866,,2828
MT0107,107590,108138,548,,2822
MT0108,108146,109765,1619,,2801
MT0109,109773,110006,233,,2800
MT0110,109967,117526,7559,,2759
MT0111,117704,119686,1982,,2740
MT0112,122163,119908,2255,,2717
MT0113,122307,123818,1511,,2714
MT0114,124254,123973,281,,2711
MT0115,124364,125557,1193,,2711
MT0116,130532,125658,4874,,2702
MT0116.1,130572,130694,122,,2702
MT0117,131092,130889,203,,2699
MT0118,131263,132861,1598,,2651
MT0119,132907,133758,851,,2645
MT0120,133942,135996,2054,,2645
MT0121,136281,137234,953,,2636
MT0122,137242,138501,1259,,2630
MT0123,138504,139661,1157,,2627
MT0124,139947,140132,185,,2627
MT0125,140890,140261,629,,2624
MT0125.1,141185,142132,947,,2621
MT0126,143867,142122,1745,,2612
MT0127,143989,145614,1625,,2603
MT0128,147762,145621,2141,,2588
MT0129,148333,147902,431,,2588
MT0130,148862,148446,416,,2582
MT0131,148847,149212,365,,2576
MT0132,149482,151164,1682,,2567
MT0133,151319,152383,1064,,2564
MT0134,152495,154297,1802,,2564
MT0135,154403,155767,1364,,2561
MT0136,155838,156614,776,,2558
MT0137,157789,156752,1037,,2543
MT0138,158018,158470,452,,2543
MT0139,159829,158489,1340,,2537
MT0140,160953,159874,1079,,2537
MT0141,161040,161642,602,,2516
MT0142,161942,162841,899,,2513
MT0143,163420,162818,602,,2495
MT0144,163537,164859,1322,,2492
MT0145,165431,164886,545,,2459
MT0146,165494,165994,500,,2453
MT0147,165998,167017,1019,,2450
MT0148,167081,167458,377,,2441
MT0149,167852,167445,407,,2429
MT0150,167882,168805,923,,2423
MT0151,170353,168878,1475,,2423
MT0152,170455,171294,839,,2411
MT0153,171386,172336,950,,2396
MT0154,172373,173311,938,,2390
MT0155,173454,174926,1472,,2378
MT0156,174983,175861,878,,2375
MT0157,175871,176836,965,,2372
MT0158,177123,176839,284,,2369
MT0159,177559,177681,122,,2366
MT0160,179480,177717,1763,,2363
MT0161,181091,179493,1598,,2360
MT0162,182156,181329,827,,2357
MT0163,183381,182161,1220,,2354
MT0164,183793,185220,1427,,2348
MT0165,185220,186644,1424,,2341
MT0167,186953,187594,641,,2336
MT0168,189007,187604,1403,,2327
MT0169,190607,189102,1505,,2324
MT0170,190775,192122,1347,,2312
MT0171,193304,192156,1148,,2312
MT0172,193286,193738,452,,2312
MT0173,193795,194277,482,,2312
MT0174,194984,194316,668,,2306
MT0175,195270,196823,1553,,2305
MT0176,197030,197824,794,,2297
MT0177,198455,197781,674,,2294
MT0178,198484,200064,1580,,2291
MT0179,200064,201101,1037,,2284
MT0180,201128,202645,1517,,2282
MT0181,202645,204234,1589,,2279
MT0182,204237,205403,1166,,2279
MT0183,205400,206944,1544,,2276
MT0184,206983,207564,581,,2276
MT0185,207570,208529,959,,2273
MT0186,208529,209080,551,,2270
MT0187,209050,209781,731,,2270
MT0188,210924,209818,1106,,2267
MT0189,212362,211007,1355,,2261
MT0190,213123,212392,731,,2255
MT0191,214252,213143,1109,,2255
MT0192,214068,215036,968,,2249
MT0193,215081,215827,746,,2246
MT0194,215827,216333,506,,2246
MT0195,216381,218453,2072,,2240
MT0196,218663,218505,158,,2234
