
    MT#  numTAs Prob.essential

    418     119		  93.1
    1218     96		  87.9
    3003     83		  83.6
    417      82		  83.3
    1701     81		  82.9

    2062     81		  82.9
    3285     81		  82.9
    2448     81		  82.6
    2082     79		  82.1
    3974     79		  82.1

    1587     77		  81.3
    1198     72		  79.2
    47       71		  78.7
    3002     69		  77.8
    2600     69		  77.8

    70       67		  76.9
    1678     66		  76.4
    1702     66		  76.4
    2551     64		  75.4
    1796     64		  75.4

    116      63		  74.9
    3045     63		  74.9
